year,flow,nile,time,level,trend
1871,3533.916667,1,1,0,0
1872,3664.25,1,2,0,0
1873,3047.5,1,3,0,0
1874,3808.583333,1,4,0,0
1875,3677.5,1,5,0,0
1876,3663.416667,1,6,0,0
1877,2667.583333,1,7,0,0
1878,3900.083333,1,8,0,0
1879,4326.666667,1,9,0,0
1880,3590.583333,1,10,0,0
1881,3147.25,1,11,0,0
1882,2954.083333,1,12,0,0
1883,3498.416667,1,13,0,0
1884,3142.166667,1,14,0,0
1885,3213.916667,1,15,0,0
1886,3035,1,16,0,0
1887,3711.75,1,17,0,0
1888,2521.666667,1,18,0,0
1889,3023.5,1,19,0,0
1890,3507.5,1,20,0,0
1891,3493.666667,1,21,0,0
1892,4268.75,1,22,0,0
1893,3635.583333,1,23,0,0
1894,3946.416667,1,24,0,0
1895,3978.166667,1,25,0,0
1896,3856,1,26,0,0
1897,3248.166667,1,27,0,0
1898,3479.833333,1,28,1,1
1899,2453,1,29,1,2
1900,2649.166667,1,30,1,3
1901,2764.916667,1,31,1,4
1902,2196.666667,1,32,1,5
1903,2973.583333,1,33,1,6
1904,2613.416667,1,34,1,7
1905,2219.333333,1,35,1,8
1906,2901,1,36,1,9
1907,2186.75,1,37,1,10
1908,3215.333333,1,38,1,11
1909,3318.25,1,39,1,12
1910,3063.666667,1,40,1,13
1911,2605.583333,1,41,1,14
1912,2239.75,1,42,1,15
1913,1441.25,1,43,1,16
1914,2654.166667,1,44,1,17
1915,2191.75,1,45,1,18
1916,3570.333333,1,46,1,19
1917,3498.166667,1,47,1,20
1918,2564.583333,1,48,1,21
1919,2434.166667,1,49,1,22
1920,2594.333333,1,50,1,23
1921,2415.166667,1,51,1,24
1922,2683.583333,1,52,1,25
1923,2733.416667,1,53,1,26
1924,2729.416667,1,54,1,27
1925,2138.083333,1,55,1,28
1926,2665.916667,1,56,1,29
1927,2306.25,1,57,1,30
1928,2495.416667,1,58,1,31
1929,3241.083333,1,59,1,32
1930,2334.416667,1,60,1,33
1871,2120,0,1,0,0
1872,2273.333333,0,2,0,0
1873,2562.5,0,3,0,0
1874,2543.333333,0,4,0,0
1875,2585.833333,0,5,0,0
1876,2815,0,6,0,0
1877,2450,0,7,0,0
1878,2162.5,0,8,0,0
1879,1932.5,0,9,0,0
1880,2125,0,10,0,0
1881,2352.5,0,11,0,0
1882,2303.333333,0,12,0,0
1883,2197.5,0,13,0,0
1884,2105,0,14,0,0
1885,2256.666667,0,15,0,0
1886,2054.166667,0,16,0,0
1887,2040,0,17,0,0
1888,2120.833333,0,18,0,0
1889,2096.666667,0,19,0,0
1890,2008.333333,0,20,0,0
1891,1812.5,0,21,0,0
1892,1740,0,22,0,0
1893,1843.333333,0,23,0,0
1894,2115,0,24,0,0
1895,2176.666667,0,25,0,0
1896,2208.333333,0,26,0,0
1897,2235.833333,0,27,0,0
1898,2077.5,0,28,1,1
1899,2316.666667,0,29,1,2
1900,2333.333333,0,30,1,3
1901,2197.5,0,31,1,4
1902,1941.666667,0,32,1,5
1903,2044.166667,0,33,1,6
1904,2241.666667,0,34,1,7
1905,2309.166667,0,35,1,8
1906,2332.5,0,36,1,9
1907,2236.666667,0,37,1,10
1908,2239.166667,0,38,1,11
1909,1892.5,0,39,1,12
1910,1791.666667,0,40,1,13
1911,1581.666667,0,41,1,14
1912,1765.833333,0,42,1,15
1913,1973.333333,0,43,1,16
1914,2081.666667,0,44,1,17
1915,2019.166667,0,45,1,18
1916,2645.083333,0,46,1,19
1917,2379.166667,0,47,1,20
1918,1889.166667,0,48,1,21
1919,1618.333333,0,49,1,22
1920,2035.083333,0,50,1,23
1921,1549.166667,0,51,1,24
1922,1318.333333,0,52,1,25
1923,1524.166667,0,53,1,26
1924,1509.166667,0,54,1,27
1925,1752.5,0,55,1,28
1926,1513.333333,0,56,1,29
1927,2150.833333,0,57,1,30
1928,2447,0,58,1,31
1929,2060.833333,0,59,1,32
1930,1796.666667,0,60,1,33